id;test.phase;correct.ans;Faze;CasZadani;CasKliknuti;RotaceHrace;RotaceCile;JmenoCile;UhlovaVzdalenostCile;PovolenaVzdalenost;JmenoOrientacnihoBodu;rozmisteni.x;zapis.x;date.time.x;date.x;same.letters.x;Cas;HracRotaceY;HracRotaceX;AIRotaceY;CilArena1Uhel;CilArena2Uhel;CilAI1Uhel;CilAI2Uhel;klavesa;rozmisteni.y;zapis.y;date.time.y;date.y;PoziceHrace.x;PoziceHrace.y;PoziceHrace.z;PoziceAI.x;PoziceAI.y;PoziceAI.z;CilArena1Pozice.x;CilArena1Pozice.y;CilArena1Pozice.z;CilArena2Pozice.x;CilArena2Pozice.y;CilArena2Pozice.z;CilAI1Pozice.x;CilAI1Pozice.y;CilAI1Pozice.z;CilAI2Pozice.x;CilAI2Pozice.y;CilAI2Pozice.z;same.letters.y;angDistTravel;cumsumAngAbs;leftAng;cumsumLeftAng;rightAng;cumsumRightAng;distance1;distance2;diff.sec.closest;reactionTime;did.switch;whereTo;correctAnsQuant;AnsQuant
1;F3;CORRECT;39;1808.646;1809.838;25.5475;59.9314;CilArena2;34.3839;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1809.8;25.54749;356.25;338.0034;300.0686;59.93142;235.3932;215.6323;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-15.2; 1.2; -12.2;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-20.8; 1.4; -14.3;-9.2; 1.4; -12.9;FALSE;0;156.62709;0;0;0;156.62709;-168.98898;-168.989;51.095;1.19200000000001;SWITCH;Arena;73;73
1;F3;CORRECT;40;1809.838;1813.189;286.9287;300.0686;CilArena1;13.1399;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1813.156;286.6786;356;2.176264;300.0686;59.93142;246.2654;236.9758;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-15.3; 1.2; -4.5;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-19.6; 1.4; -8.6;-9.5; 1.4; -6.2;FALSE;2.125;166.61989;0;132.74439;2.125;33.8755;-85.47889;-85.47889;27.5234;3.35100000000011;NOSWITCH;Arena;73;73
1;F3;CORRECT;41;1813.189;1814.397;60.3049;59.9314;CilArena2;0.3735;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1814.356;60.30494;354.625;0.9032757;300.0686;59.93142;252.148;249.1159;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-15.2; 1.2; -1.6;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-19.2; 1.4; -6.2;-9.6; 1.4; -3.7;FALSE;0;133.37624;0;0;0;133.37624;133.00272;133.0027;119.8628;1.20799999999986;NOSWITCH;Arena;73;73
1;F3;CORRECT;42;1816.189;1817.468;75.8764;59.9314;CilArena2;15.945;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1817.449;75.8764;0.6250001;0.9593869;300.0686;59.93142;259.7128;264.6309;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-15.2; 1.2; 1.5;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-18.7; 1.4; -3.4;-9.7; 1.4; -0.9;FALSE;0;77.6251999999999;0;0.87439999999998;0;76.7508;59.93142;59.9314;119.8628;1.279;NOSWITCH;Arena;73;73
1;F3;CORRECT;43;1817.468;1819.222;275.5055;271.5828;CilAI1;3.9227;33.3158;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1819.199;275.5055;8.75;1.457752;300.0686;59.93142;271.4393;286.0298;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-15.1; 1.2; 5.6;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-18.2; 1.4; 0.5;-9.8; 1.4; 2.8;FALSE;0;160.3709;0;160.3709;0;0;-175.9135;-164.2936;6.60160000000004;1.75399999999991;SWITCH;AI;73;73
1;F3;CORRECT;45;1820.245;1821.068;310.8838;300.0686;CilArena1;10.8152;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1821.051;310.8838;350;207.4985;300.0686;59.93142;272.1485;286.5246;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-16.1; 1.2; 6.0;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-19.0; 1.4; 0.7;-10.8; 1.4; 3.2;FALSE;0;25.2505;0;15.9996;0;9.2509;-17.5639;-17.5639;13.544;0.823000000000093;SWITCH;Arena;73;73
1;F3;CORRECT;46;1821.068;1822.966;260.2635;260.8347;CilAI1;0.5712;29.4747;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1822.954;260.2635;15;203.9867;300.0686;59.93142;260.9349;268.0908;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-17.9; 1.2; 1.9;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-20.9; 1.4; -3.3;-12.4; 1.4; -0.4;FALSE;-0.374899999999968;159.621214;0.374899999999968;105.120757;0;54.500457;-39.0987;-50.0491;7.25609999999998;1.89799999999991;SWITCH;AI;73;73
1;F3;CORRECT;47;1822.966;1824.492;46.5161;59.9314;CilArena2;13.4153;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1824.454;46.51606;358.625;51.36506;300.0686;59.93142;261.4047;268.6569;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-17.1; 1.2; 2.1;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-20.2; 1.4; -3.1;-11.6; 1.4; -0.3;FALSE;0.125;146.25256;0;0;0.125;146.25256;159.66792;159.6679;93.0322;1.52600000000007;SWITCH;Arena;73;73
1;F3;CORRECT;49;1826.238;1827.646;62.3967;59.9314;CilArena2;2.4653;19.7081;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1827.607;62.3967;359;48.03775;300.0686;59.93142;277.9863;301.4134;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-11.5; 1.2; 7.0;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-15.0; 1.4; 2.1;-6.3; 1.4; 3.9;FALSE;2.00003000000001;132.5014;0;0.125;2.00003000000001;132.3764;129.78612;129.7861;118.518;1.4079999999999;SWITCH;Arena;73;73
1;F3;CORRECT;50;1827.646;1828.829;316.2738;321.6732;CilAI2;5.3994;59.2066;NA;1324-2431;TEST;09-53-37;29-10-2014;FALSE;1828.81;316.2738;15;48.74634;300.0686;59.93142;287.4867;321.3382;;1324-2431;LOG;09-53-37;29-10-2014;0.0; 3.7; 0.0;-9.3; 1.2; 8.9;-29.0; 1.4; 16.8;29.0; 1.4; 16.8;-12.9; 1.4; 4.1;-4.4; 1.4; 5.5;FALSE;0;106.1229;0;106.1229;0;0;-120.348;-100.7235;10.8058;1.18299999999999;SWITCH;AI;73;73
